FIPS,County Name,Less_Than_9th_grade,Less_Than_HighSchool,Atleast_Bachelors
21001,Adair County,984,1820,2402
21003,Allen County,1109,2204,2546
21005,Anderson County,486,1385,4290
21007,Ballard County,100,349,1028
21009,Barren County,1724,4156,5497
21011,Bath County,886,1586,1227
21013,Bell County,1370,3467,2343
21015,Boone County,2063,5828,32143
21017,Bourbon County,814,1865,3535
21019,Boyd County,880,3758,6648
21021,Boyle County,516,1774,5671
21023,Bracken County,201,690,991
21025,Breathitt County,674,1883,1606
21027,Breckinridge County,651,1942,2131
21029,Bullitt County,1648,6182,11210
21031,Butler County,690,1565,826
21033,Caldwell County,178,894,1591
21035,Calloway County,646,2015,7557
21037,Campbell County,1577,4509,25815
21039,Carlisle County,84,301,484
21041,Carroll County,396,1150,635
21043,Carter County,1341,3146,2820
21045,Casey County,1591,2443,1303
21047,Christian County,2147,5452,8301
21049,Clark County,907,2614,5779
21051,Clay County,1847,3768,2409
21053,Clinton County,589,1365,1086
21055,Crittenden County,449,1028,796
21057,Cumberland County,316,781,756
21059,Daviess County,2214,6310,17506
21061,Edmonson County,684,1455,939
21063,Elliott County,769,1405,349
21065,Estill County,1137,2222,1001
21067,Fayette County,6294,15960,99135
21069,Fleming County,927,1718,1696
21071,Floyd County,1885,4736,3773
21073,Franklin County,1137,2727,11540
21075,Fulton County,348,851,781
21077,Gallatin County,351,934,792
21079,Garrard County,583,1748,2352
21081,Grant County,469,1822,2458
21083,Graves County,1002,2812,4338
21085,Grayson County,1099,2736,2677
21087,Green County,722,1232,1361
21089,Greenup County,1040,2476,4674
21091,Hancock County,246,825,1032
21093,Hardin County,1603,5638,18171
21095,Harlan County,1556,3800,2326
21097,Harrison County,390,1433,2650
21099,Hart County,1082,2778,1413
21101,Henderson County,1008,3385,5917
21103,Henry County,510,1508,1606
21105,Hickman County,180,419,470
21107,Hopkins County,1413,3854,5221
21109,Jackson County,1174,2419,936
21111,Jefferson County,14174,45762,197290
21113,Jessamine County,1275,3432,11717
21115,Johnson County,947,2791,2624
21117,Kenton County,3177,8760,43699
21119,Knott County,1165,2669,1751
21121,Knox County,2521,4959,2768
21123,Larue County,574,1472,1640
21125,Laurel County,2777,7357,7187
21127,Lawrence County,944,2275,1598
21129,Lee County,696,1423,416
21131,Leslie County,589,1358,761
21133,Letcher County,1401,3065,2075
21135,Lewis County,947,1759,1026
21137,Lincoln County,992,2834,2571
21139,Livingston County,204,676,897
21141,Logan County,921,2480,3158
21143,Lyon County,220,695,1149
21145,McCracken County,955,3408,13299
21147,McCreary County,1116,2682,1087
21149,McLean County,225,502,1170
21151,Madison County,1953,5160,20164
21153,Magoffin County,951,2035,1069
21155,Marion County,735,1832,1703
21157,Marshall County,608,1771,4853
21159,Martin County,959,2154,880
21161,Mason County,823,1770,2513
21163,Meade County,709,1974,3859
21165,Menifee County,460,968,486
21167,Mercer County,622,1421,3579
21169,Metcalfe County,632,1133,943
21171,Monroe County,584,1369,1160
21173,Montgomery County,1257,2920,4041
21175,Morgan County,879,1943,1807
21177,Muhlenberg County,1060,3373,2844
21179,Nelson County,727,2625,7396
21181,Nicholas County,353,842,490
21183,Ohio County,1144,2603,2281
21185,Oldham County,732,2683,20892
21187,Owen County,531,1253,1361
21189,Owsley County,486,803,339
21191,Pendleton County,442,1549,1681
21193,Perry County,1576,4000,2779
21195,Pike County,3277,7879,6578
21197,Powell County,650,1534,1531
21199,Pulaski County,3010,7001,8309
21201,Robertson County,82,224,205
21203,Rockcastle County,974,2142,1574
21205,Rowan County,829,1838,3909
21207,Russell County,889,2277,1976
21209,Scott County,740,2190,12774
21211,Shelby County,1476,3993,10481
21213,Simpson County,363,1450,2241
21215,Spencer County,358,939,3084
21217,Taylor County,727,1949,3787
21219,Todd County,866,1620,1279
21221,Trigg County,581,1265,2061
21223,Trimble County,143,865,885
21225,Union County,254,750,1110
21227,Warren County,4651,9350,28163
21229,Washington County,409,916,1597
21231,Wayne County,1508,2899,1931
21233,Webster County,497,1168,1099
21235,Whitley County,1607,3906,4580
21237,Wolfe County,627,1532,333
21239,Woodford County,567,1616,7826
