FIPS,County,Median_Household_Income
21001,Adair County,"50,316"
21003,Allen County,"59,029"
21005,Anderson County,"71,747"
21007,Ballard County,"64,740"
21009,Barren County,"49,171"
21011,Bath County,"54,128"
21013,Bell County,"32,403"
21015,Boone County,"94,752"
21017,Bourbon County,"56,322"
21019,Boyd County,"60,659"
21021,Boyle County,"61,635"
21023,Bracken County,"59,521"
21025,Breathitt County,"41,101"
21027,Breckinridge County,"53,673"
21029,Bullitt County,"77,640"
21031,Butler County,"52,003"
21033,Caldwell County,"57,618"
21035,Calloway County,"51,854"
21037,Campbell County,"77,271"
21039,Carlisle County,"62,019"
21041,Carroll County,"57,753"
21043,Carter County,"50,389"
21045,Casey County,"41,689"
21047,Christian County,"54,190"
21049,Clark County,"67,824"
21051,Clay County,"39,607"
21053,Clinton County,"42,168"
21055,Crittenden County,"47,003"
21057,Cumberland County,"39,662"
21059,Daviess County,"65,323"
21061,Edmonson County,"54,512"
21063,Elliott County,"40,074"
21065,Estill County,"43,905"
21067,Fayette County,"67,631"
21069,Fleming County,"49,663"
21071,Floyd County,"41,582"
21073,Franklin County,"66,470"
21075,Fulton County,"36,834"
21077,Gallatin County,"62,247"
21079,Garrard County,"62,572"
21081,Grant County,"67,940"
21083,Graves County,"50,576"
21085,Grayson County,"49,893"
21087,Green County,"41,087"
21089,Greenup County,"59,613"
21091,Hancock County,"66,836"
21093,Hardin County,"67,608"
21095,Harlan County,"37,198"
21097,Harrison County,"63,205"
21099,Hart County,"49,653"
21101,Henderson County,"58,239"
21103,Henry County,"60,736"
21105,Hickman County,"63,750"
21107,Hopkins County,"57,610"
21109,Jackson County,"41,410"
21111,Jefferson County,"67,849"
21113,Jessamine County,"74,886"
21115,Johnson County,"43,014"
21117,Kenton County,"79,421"
21119,Knott County,"37,736"
21121,Knox County,"33,153"
21123,Larue County,"67,770"
21125,Laurel County,"56,999"
21127,Lawrence County,"45,584"
21129,Lee County,"34,182"
21131,Leslie County,"40,176"
21133,Letcher County,"40,501"
21135,Lewis County,"41,632"
21137,Lincoln County,"50,862"
21139,Livingston County,"59,713"
21141,Logan County,"61,535"
21143,Lyon County,"64,464"
21145,McCracken County,"62,385"
21147,McCreary County,"37,355"
21149,McLean County,"70,549"
21151,Madison County,"62,407"
21153,Magoffin County,"33,632"
21155,Marion County,"55,404"
21157,Marshall County,"63,611"
21159,Martin County,"46,185"
21161,Mason County,"51,473"
21163,Meade County,"70,163"
21165,Menifee County,"44,672"
21167,Mercer County,"63,115"
21169,Metcalfe County,"48,572"
21171,Monroe County,"49,430"
21173,Montgomery County,"57,468"
21175,Morgan County,"47,493"
21177,Muhlenberg County,"52,672"
21179,Nelson County,"67,888"
21181,Nicholas County,"53,616"
21183,Ohio County,"54,369"
21185,Oldham County,"121,491"
21187,Owen County,"59,706"
21189,Owsley County,"31,064"
21191,Pendleton County,"66,601"
21193,Perry County,"45,261"
21195,Pike County,"42,179"
21197,Powell County,"39,811"
21199,Pulaski County,"50,943"
21201,Robertson County,"52,337"
21203,Rockcastle County,"48,367"
21205,Rowan County,"53,657"
21207,Russell County,"50,520"
21209,Scott County,"83,660"
21211,Shelby County,"82,671"
21213,Simpson County,"57,392"
21215,Spencer County,"98,333"
21217,Taylor County,"61,871"
21219,Todd County,"57,759"
21221,Trigg County,"54,630"
21223,Trimble County,"67,813"
21225,Union County,"60,989"
21227,Warren County,"64,801"
21229,Washington County,"59,762"
21231,Wayne County,"41,933"
21233,Webster County,"58,786"
21235,Whitley County,"41,719"
21237,Wolfe County,"29,052"
21239,Woodford County,"80,006"
