county_fips,county_name,desktop_laptop_estimate,smartphone_estimate
21001,Adair,4818,5817
21003,Allen,4572,6463
21005,Anderson,7261,8236
21007,Ballard,2243,2810
21009,Barren,11965,14884
21011,Bath,2865,3869
21013,Bell,4698,7638
21015,Boone,42302,45392
21017,Bourbon,5366,7030
21019,Boyd,13885,16306
21021,Boyle,8533,10487
21023,Bracken,2291,2830
21025,Breathitt,3221,4032
21027,Breckinridge,4918,6140
21029,Bullitt,23729,27946
21031,Butler,2558,3635
21033,Caldwell,3262,4615
21035,Calloway,11985,13147
21037,Campbell,31930,34591
21039,Carlisle,1462,1610
21041,Carroll,2704,3492
21043,Carter,6488,7778
21045,Casey,3686,4733
21047,Christian,18706,22645
21049,Clark,11157,13214
21051,Clay,4160,5554
21053,Clinton,2095,2741
21055,Crittenden,2005,2751
21057,Cumberland,1475,1897
21059,Daviess,29780,36198
21061,Edmonson,3168,4075
21063,Elliott,1286,1836
21065,Estill,3515,4430
21067,Fayette,112429,127914
21069,Fleming,3692,4672
21071,Floyd,9211,11342
21073,Franklin,16965,20212
21075,Fulton,1518,1995
21077,Gallatin,2144,2839
21079,Garrard,4626,5674
21081,Grant,6373,8140
21083,Graves,9908,12155
21085,Grayson,6062,7871
21087,Green,2682,3332
21089,Greenup,10153,12218
21091,Hancock,2237,2975
21093,Hardin,33331,38686
21095,Harlan,6502,8134
21097,Harrison,4661,6036
21099,Hart,4478,5599
21101,Henderson,12162,16659
21103,Henry,3894,5022
21105,Hickman,1194,1355
21107,Hopkins,12684,16263
21109,Jackson,3118,3911
21111,Jefferson,251768,294678
21113,Jessamine,16026,17718
21115,Johnson,5919,7320
21117,Kenton,53929,60705
21119,Knott,3397,4184
21121,Knox,6581,9294
21123,Larue,4168,5075
21125,Laurel,16550,20406
21127,Lawrence,3890,4819
21129,Lee,1434,1935
21131,Leslie,2285,2871
21133,Letcher,5486,6669
21135,Lewis,3017,3645
21137,Lincoln,6350,8166
21139,Livingston,2236,2922
21141,Logan,7738,8844
21143,Lyon,2279,2983
21145,McCracken,21531,24307
21147,McCreary,3258,4108
21149,McLean,2647,3143
21151,Madison,28002,33191
21153,Magoffin,2794,3611
21155,Marion,4604,6040
21157,Marshall,9820,11791
21159,Martin,2572,3120
21161,Mason,4557,5876
21163,Meade,7995,9793
21165,Menifee,1446,1788
21167,Mercer,6746,7723
21169,Metcalfe,2689,3417
21171,Monroe,2727,3610
21173,Montgomery,7263,9891
21175,Morgan,3071,3706
21177,Muhlenberg,7783,10078
21179,Nelson,13362,16865
21181,Nicholas,1401,2290
21183,Ohio,5544,7626
21185,Oldham,20179,21399
21187,Owen,2797,3346
21189,Owsley,801,982
21191,Pendleton,3480,4348
21193,Perry,7494,9372
21195,Pike,15920,19576
21197,Powell,2770,3788
21199,Pulaski,18122,21776
21201,Robertson,412,649
21203,Rockcastle,4177,5227
21205,Rowan,7137,8302
21207,Russell,4621,5929
21209,Scott,17270,20549
21211,Shelby,13649,15976
21213,Simpson,5218,6548
21215,Spencer,5469,6433
21217,Taylor,6872,8454
21219,Todd,2751,3280
21221,Trigg,4070,5014
21223,Trimble,2085,2711
21225,Union,3430,4615
21227,Warren,41614,49611
21229,Washington,3058,3844
21231,Wayne,4790,6165
21233,Webster,3083,4280
21235,Whitley,8469,11658
21237,Wolfe,1410,1874
21239,Woodford,8759,9789
