county_fips,county_name,county_avg_down,county_min_provider_down,county_max_provider_down,total_locations,underserved_locations,pct_underserved,provider_count,providers_below100,Less_Than_9th_grade,Less_Than_HighSchool,Atleast_Bachelors,Median_Household_Income,Population,total_est_poverty,area_sq_mi,desktop_laptop_estimate,smartphone_estimate
21001,Adair,381.6901885663301,22.74958228905597,892.1739130434783,27304,13751,50.36258423674187,6,5,984,1820,2402,50316,19264,3978,405,4818,5817
21003,Allen,496.341138279801,10.0,1000.0,23180,7930,34.21052631578947,8,6,1109,2204,2546,59029,21788,3549,346,4572,6463
21005,Anderson,517.5136936514024,0.0,2059.150459077895,30735,18689,60.80689767366195,6,5,486,1385,4290,71747,24613,2200,203,7261,8236
21007,Ballard,1803.3054559357563,18.48864994026284,10000.0,10494,2286,21.78387650085764,8,3,100,349,1028,64740,7582,1075,247,2243,2810
21009,Barren,621.5264625920872,12.5,1200.0,57832,18629,32.2122700235164,8,7,1724,4156,5497,49171,45008,7951,491,11965,14884
21011,Bath,502.42868452615255,0.0,2000.0,15439,6372,41.27210311548675,7,6,886,1586,1227,54128,12975,2289,279,2865,3869
21013,Bell,507.9885859267718,0.0,1000.0,24122,9805,40.647541663212,6,4,1370,3467,2343,32403,23317,6547,361,4698,7638
21015,Boone,375.9801952261603,27.59971509971509,1449.7490071677644,199582,58102,29.1118437534447,9,6,2063,5828,32143,94752,140496,10333,250,42302,45392
21017,Bourbon,354.8234228304983,6.666666666666667,1947.901451576321,29065,14740,50.71391708240152,9,8,814,1865,3535,56322,20134,2832,292,5366,7030
21019,Boyd,560.2516926865468,24.240058228015616,1081.3853918355185,83355,32349,38.80870973546877,9,5,880,3758,6648,60659,47826,8249,160,13885,16306
21021,Boyle,412.4021021098199,0.0,2044.515755329008,49272,29494,59.85955512258484,8,7,516,1774,5671,61635,30988,4115,182,8533,10487
21023,Bracken,205.80514445352932,15.598991172761664,500.0,12692,6587,51.89883391112512,5,4,201,690,991,59521,8426,1198,206,2291,2830
21025,Breathitt,684.4364180113485,7.9025570145127855,2000.0,9231,3803,41.19813671324884,10,4,674,1883,1606,41101,12953,3850,495,3221,4032
21027,Breckinridge,570.6375634321107,6.631384408602151,2000.0,28954,14609,50.45589555847207,8,6,651,1942,2131,53673,21124,3419,572,4918,6140
21029,Bullitt,328.79155490818,17.5,1000.0,115366,45720,39.63039370351751,8,5,1648,6182,11210,77640,84863,7130,297,23729,27946
21031,Butler,1022.2613045933864,12.978007181328543,4881.726862302483,16818,5002,29.74194315614223,8,5,690,1565,826,52003,12375,1828,431,2558,3635
21033,Caldwell,430.8876775161152,4.463408644400785,1000.0,14958,8086,54.05802914828186,8,4,178,894,1591,57618,12551,1940,348,3262,4615
21035,Calloway,619.7979415586719,0.0,2000.0,55917,27585,49.33204571060679,11,5,646,2015,7557,51854,38280,6130,407,11985,13147
21037,Campbell,1385.2583037357117,31.08620689655172,5500.0,153362,40282,26.26595897288768,6,4,1577,4509,25815,77271,93702,9417,151,31930,34591
21039,Carlisle,631.4634333503308,6.192660550458716,2000.0,6519,2320,35.588280411106,7,4,84,301,484,62019,4704,600,188,1462,1610
21041,Carroll,265.6378776366106,8.704879016263387,1000.0,12410,6486,52.26430298146656,5,4,396,1150,635,57753,10987,1736,129,2704,3492
21043,Carter,377.8387415893635,22.238541402886806,1000.0,28502,15352,53.86288681496036,8,5,1341,3146,2820,50389,26366,4922,412,6488,7778
